pref,city,2024-09-21
茨城県,茨城県,1107
茨城県,水戸市,103
茨城県,日立市,36
茨城県,土浦市,73
茨城県,古河市,23
茨城県,石岡市,30
茨城県,結城市,5
茨城県,龍ケ崎市,35
茨城県,下妻市,18
茨城県,常総市,20
茨城県,常陸太田市,8
茨城県,高萩市,6
茨城県,北茨城市,12
茨城県,笠間市,19
茨城県,取手市,47
茨城県,牛久市,38
茨城県,つくば市,181
茨城県,ひたちなか市,41
茨城県,鹿嶋市,43
茨城県,潮来市,11
茨城県,守谷市,46
茨城県,常陸大宮市,6
茨城県,那珂市,11
茨城県,筑西市,31
茨城県,坂東市,20
茨城県,稲敷市,13
茨城県,かすみがうら市,11
茨城県,桜川市,9
茨城県,神栖市,31
茨城県,行方市,15
茨城県,鉾田市,13
茨城県,つくばみらい市,51
茨城県,小美玉市,23
茨城県,東茨城郡茨城町,6
茨城県,東茨城郡大洗町,5
茨城県,東茨城郡城里町,5
茨城県,那珂郡東海村,7
茨城県,久慈郡大子町,6
茨城県,稲敷郡美浦村,3
茨城県,稲敷郡阿見町,23
茨城県,稲敷郡河内町,1
茨城県,結城郡八千代町,13
茨城県,猿島郡五霞町,3
茨城県,猿島郡境町,5
茨城県,北相馬郡利根町,1
栃木県,栃木県,703
栃木県,宇都宮市,198
栃木県,足利市,42
栃木県,栃木市,24
栃木県,佐野市,30
栃木県,鹿沼市,8
栃木県,日光市,38
栃木県,小山市,57
栃木県,真岡市,16
栃木県,大田原市,24
栃木県,矢板市,10
栃木県,那須塩原市,62
栃木県,さくら市,18
栃木県,那須烏山市,10
栃木県,下野市,16
栃木県,河内郡上三川町,13
栃木県,芳賀郡益子町,17
栃木県,芳賀郡茂木町,6
栃木県,芳賀郡市貝町,6
栃木県,芳賀郡芳賀町,6
栃木県,下都賀郡壬生町,11
栃木県,下都賀郡野木町,8
栃木県,塩谷郡塩谷町,1
栃木県,塩谷郡高根沢町,13
栃木県,那須郡那須町,66
栃木県,那須郡那珂川町,3
群馬県,群馬県,676
群馬県,前橋市,131
群馬県,高崎市,152
群馬県,桐生市,46
群馬県,伊勢崎市,88
群馬県,太田市,61
群馬県,沼田市,8
群馬県,館林市,13
群馬県,渋川市,11
群馬県,藤岡市,15
群馬県,富岡市,6
群馬県,安中市,19
群馬県,みどり市,12
群馬県,北群馬郡榛東村,7
群馬県,北群馬郡吉岡町,11
群馬県,甘楽郡下仁田町,1
群馬県,甘楽郡甘楽町,2
群馬県,吾妻郡中之条町,4
群馬県,吾妻郡長野原町,2
群馬県,吾妻郡嬬恋村,13
群馬県,吾妻郡草津町,7
群馬県,吾妻郡高山村,2
群馬県,吾妻郡東吾妻町,5
群馬県,利根郡片品村,7
群馬県,利根郡昭和村,2
群馬県,利根郡みなかみ町,17
群馬県,佐波郡玉村町,17
群馬県,邑楽郡板倉町,1
群馬県,邑楽郡明和町,1
群馬県,邑楽郡千代田町,1
群馬県,邑楽郡大泉町,12
群馬県,邑楽郡邑楽町,2
埼玉県,埼玉県,3024
埼玉県,さいたま市西区,36
埼玉県,さいたま市北区,52
埼玉県,さいたま市大宮区,111
埼玉県,さいたま市見沼区,73
埼玉県,さいたま市中央区,28
埼玉県,さいたま市桜区,44
埼玉県,さいたま市浦和区,127
埼玉県,さいたま市南区,75
埼玉県,さいたま市緑区,43
埼玉県,さいたま市岩槻区,51
埼玉県,川越市,185
埼玉県,熊谷市,81
埼玉県,川口市,235
埼玉県,行田市,30
埼玉県,秩父市,27
埼玉県,所沢市,161
埼玉県,飯能市,21
埼玉県,加須市,17
埼玉県,本庄市,24
埼玉県,東松山市,48
埼玉県,春日部市,110
埼玉県,狭山市,45
埼玉県,羽生市,19
埼玉県,鴻巣市,39
埼玉県,深谷市,58
埼玉県,上尾市,60
埼玉県,草加市,118
埼玉県,越谷市,157
埼玉県,蕨市,27
埼玉県,戸田市,53
埼玉県,入間市,44
埼玉県,朝霞市,50
埼玉県,志木市,29
埼玉県,和光市,24
埼玉県,新座市,61
埼玉県,桶川市,38
埼玉県,久喜市,75
埼玉県,北本市,31
埼玉県,八潮市,19
埼玉県,富士見市,39
埼玉県,三郷市,76
埼玉県,蓮田市,21
埼玉県,坂戸市,25
埼玉県,幸手市,25
埼玉県,鶴ヶ島市,24
埼玉県,日高市,26
埼玉県,吉川市,22
埼玉県,ふじみ野市,41
埼玉県,白岡市,29
埼玉県,北足立郡伊奈町,18
埼玉県,入間郡三芳町,8
埼玉県,入間郡毛呂山町,10
埼玉県,入間郡越生町,4
埼玉県,比企郡滑川町,8
埼玉県,比企郡嵐山町,6
埼玉県,比企郡小川町,11
埼玉県,比企郡川島町,4
埼玉県,比企郡吉見町,5
埼玉県,比企郡鳩山町,3
埼玉県,比企郡ときがわ町,15
埼玉県,秩父郡横瀬町,3
埼玉県,秩父郡皆野町,5
埼玉県,秩父郡長瀞町,3
埼玉県,秩父郡小鹿野町,4
埼玉県,秩父郡東秩父村,2
埼玉県,児玉郡美里町,2
埼玉県,児玉郡神川町,3
埼玉県,児玉郡上里町,7
埼玉県,大里郡寄居町,14
埼玉県,南埼玉郡宮代町,10
埼玉県,北葛飾郡杉戸町,12
埼玉県,北葛飾郡松伏町,13
千葉県,千葉県,3073
千葉県,千葉市中央区,139
千葉県,千葉市花見川区,43
千葉県,千葉市稲毛区,54
千葉県,千葉市若葉区,66
千葉県,千葉市緑区,55
千葉県,千葉市美浜区,58
千葉県,銚子市,15
千葉県,市川市,281
千葉県,船橋市,282
千葉県,館山市,36
千葉県,木更津市,67
千葉県,松戸市,239
千葉県,野田市,65
千葉県,茂原市,43
千葉県,成田市,50
千葉県,佐倉市,63
千葉県,東金市,31
千葉県,旭市,33
千葉県,習志野市,80
千葉県,柏市,267
千葉県,勝浦市,7
千葉県,市原市,114
千葉県,流山市,123
千葉県,八千代市,96
千葉県,我孫子市,80
千葉県,鴨川市,22
千葉県,鎌ケ谷市,34
千葉県,君津市,37
千葉県,富津市,34
千葉県,浦安市,70
千葉県,四街道市,34
千葉県,袖ケ浦市,31
千葉県,八街市,35
千葉県,印西市,79
千葉県,白井市,24
千葉県,富里市,26
千葉県,南房総市,34
千葉県,匝瑳市,12
千葉県,香取市,22
千葉県,山武市,16
千葉県,いすみ市,30
千葉県,大網白里市,34
千葉県,印旛郡酒々井町,8
千葉県,印旛郡栄町,7
千葉県,香取郡神崎町,2
千葉県,香取郡多古町,8
千葉県,香取郡東庄町,7
千葉県,山武郡九十九里町,10
千葉県,山武郡芝山町,3
千葉県,山武郡横芝光町,12
千葉県,長生郡一宮町,24
千葉県,長生郡睦沢町,2
千葉県,長生郡長生村,9
千葉県,長生郡白子町,6
千葉県,長生郡長柄町,7
千葉県,長生郡長南町,1
千葉県,夷隅郡大多喜町,3
千葉県,夷隅郡御宿町,2
千葉県,安房郡鋸南町,1
東京都,東京都,11741
東京都,千代田区,325
東京都,中央区,498
東京都,港区,760
東京都,新宿区,804
東京都,文京区,160
東京都,台東区,322
東京都,墨田区,241
東京都,江東区,253
東京都,品川区,325
東京都,目黒区,318
東京都,大田区,397
東京都,世田谷区,804
東京都,渋谷区,625
東京都,中野区,264
東京都,杉並区,505
東京都,豊島区,368
東京都,北区,214
東京都,荒川区,135
東京都,板橋区,348
東京都,練馬区,384
東京都,足立区,370
東京都,葛飾区,244
東京都,江戸川区,298
東京都,八王子市,438
東京都,立川市,166
東京都,武蔵野市,232
東京都,三鷹市,96
東京都,青梅市,59
東京都,府中市,147
東京都,昭島市,45
東京都,調布市,178
東京都,町田市,308
東京都,小金井市,55
東京都,小平市,85
東京都,日野市,107
東京都,東村山市,76
東京都,国分寺市,84
東京都,国立市,77
東京都,福生市,37
東京都,狛江市,57
東京都,東大和市,30
東京都,清瀬市,29
東京都,東久留米市,40
東京都,武蔵村山市,32
東京都,多摩市,99
東京都,稲城市,53
東京都,羽村市,39
東京都,あきる野市,32
東京都,西東京市,121
東京都,西多摩郡瑞穂町,12
東京都,西多摩郡日の出町,9
東京都,西多摩郡檜原村,1
東京都,大島町,4
東京都,新島村,2
東京都,神津島村,18
東京都,三宅島三宅村,1
東京都,八丈島八丈町,3
東京都,小笠原村,7
神奈川県,神奈川県,4755
神奈川県,横浜市鶴見区,123
神奈川県,横浜市神奈川区,100
神奈川県,横浜市西区,93
神奈川県,横浜市中区,263
神奈川県,横浜市南区,69
神奈川県,横浜市保土ケ谷区,86
神奈川県,横浜市磯子区,50
神奈川県,横浜市金沢区,67
神奈川県,横浜市港北区,183
神奈川県,横浜市戸塚区,93
神奈川県,横浜市港南区,103
神奈川県,横浜市旭区,102
神奈川県,横浜市緑区,98
神奈川県,横浜市瀬谷区,49
神奈川県,横浜市栄区,32
神奈川県,横浜市泉区,29
神奈川県,横浜市青葉区,163
神奈川県,横浜市都筑区,122
神奈川県,川崎市川崎区,141
神奈川県,川崎市幸区,54
神奈川県,川崎市中原区,170
神奈川県,川崎市高津区,109
神奈川県,川崎市多摩区,124
神奈川県,川崎市宮前区,98
神奈川県,川崎市麻生区,75
神奈川県,相模原市緑区,81
神奈川県,相模原市中央区,150
神奈川県,相模原市南区,146
神奈川県,横須賀市,211
神奈川県,平塚市,122
神奈川県,鎌倉市,164
神奈川県,藤沢市,255
神奈川県,小田原市,98
神奈川県,茅ヶ崎市,112
神奈川県,逗子市,47
神奈川県,三浦市,12
神奈川県,秦野市,85
神奈川県,厚木市,124
神奈川県,大和市,149
神奈川県,伊勢原市,74
神奈川県,海老名市,66
神奈川県,座間市,67
神奈川県,南足柄市,10
神奈川県,綾瀬市,25
神奈川県,三浦郡葉山町,29
神奈川県,高座郡寒川町,23
神奈川県,中郡大磯町,4
神奈川県,中郡二宮町,12
神奈川県,足柄上郡中井町,1
神奈川県,足柄上郡大井町,3
神奈川県,足柄上郡松田町,7
神奈川県,足柄上郡山北町,2
神奈川県,足柄上郡開成町,8
神奈川県,足柄下郡箱根町,34
神奈川県,足柄下郡真鶴町,6
神奈川県,足柄下郡湯河原町,12
神奈川県,愛甲郡愛川町,18
神奈川県,愛甲郡清川村,2
山梨県,山梨県,507
山梨県,甲府市,88
山梨県,富士吉田市,21
山梨県,都留市,13
山梨県,山梨市,3
山梨県,大月市,9
山梨県,韮崎市,8
山梨県,南アルプス市,27
山梨県,北杜市,172
山梨県,甲斐市,24
山梨県,笛吹市,23
山梨県,上野原市,7
山梨県,甲州市,13
山梨県,中央市,12
山梨県,南巨摩郡身延町,2
山梨県,南巨摩郡富士川町,3
山梨県,中巨摩郡昭和町,18
山梨県,南都留郡道志村,1
山梨県,南都留郡忍野村,2
山梨県,南都留郡山中湖村,11
山梨県,南都留郡鳴沢村,4
山梨県,南都留郡富士河口湖町,46
