pref,city,2024-08-29
滋賀県,滋賀県,295
滋賀県,大津市,93
滋賀県,彦根市,31
滋賀県,長浜市,10
滋賀県,近江八幡市,17
滋賀県,草津市,49
滋賀県,守山市,26
滋賀県,栗東市,14
滋賀県,甲賀市,13
滋賀県,野洲市,12
滋賀県,湖南市,3
滋賀県,高島市,9
滋賀県,東近江市,11
滋賀県,蒲生郡日野町,1
滋賀県,蒲生郡竜王町,2
滋賀県,愛知郡愛荘町,3
滋賀県,犬上郡豊郷町,1
京都府,京都府,1078
京都府,京都市北区,51
京都府,京都市上京区,50
京都府,京都市左京区,56
京都府,京都市中京区,206
京都府,京都市東山区,62
京都府,京都市下京区,113
京都府,京都市南区,51
京都府,京都市右京区,72
京都府,京都市伏見区,99
京都府,京都市山科区,40
京都府,京都市西京区,42
京都府,福知山市,19
京都府,舞鶴市,28
京都府,綾部市,5
京都府,宇治市,41
京都府,宮津市,3
京都府,亀岡市,15
京都府,城陽市,10
京都府,向日市,11
京都府,長岡京市,24
京都府,八幡市,12
京都府,京田辺市,19
京都府,京丹後市,14
京都府,南丹市,5
京都府,木津川市,18
京都府,乙訓郡大山崎町,1
京都府,久世郡久御山町,3
京都府,相楽郡精華町,4
京都府,与謝郡伊根町,1
京都府,与謝郡与謝野町,3
大阪府,大阪府,6083
大阪府,大阪市都島区,132
大阪府,大阪市福島区,85
大阪府,大阪市此花区,29
大阪府,大阪市西区,165
大阪府,大阪市港区,32
大阪府,大阪市大正区,36
大阪府,大阪市天王寺区,103
大阪府,大阪市浪速区,98
大阪府,大阪市西淀川区,32
大阪府,大阪市東淀川区,99
大阪府,大阪市東成区,89
大阪府,大阪市生野区,67
大阪府,大阪市旭区,68
大阪府,大阪市城東区,97
大阪府,大阪市阿倍野区,105
大阪府,大阪市住吉区,122
大阪府,大阪市東住吉区,71
大阪府,大阪市西成区,48
大阪府,大阪市淀川区,173
大阪府,大阪市鶴見区,48
大阪府,大阪市住之江区,36
大阪府,大阪市平野区,56
大阪府,大阪市北区,581
大阪府,大阪市中央区,674
大阪府,堺市堺区,132
大阪府,堺市中区,55
大阪府,堺市東区,45
大阪府,堺市西区,74
大阪府,堺市南区,58
大阪府,堺市北区,108
大阪府,堺市美原区,24
大阪府,岸和田市,58
大阪府,豊中市,236
大阪府,池田市,76
大阪府,吹田市,190
大阪府,泉大津市,33
大阪府,高槻市,181
大阪府,貝塚市,39
大阪府,守口市,64
大阪府,枚方市,174
大阪府,茨木市,141
大阪府,八尾市,150
大阪府,泉佐野市,55
大阪府,富田林市,33
大阪府,寝屋川市,109
大阪府,河内長野市,38
大阪府,松原市,47
大阪府,大東市,49
大阪府,和泉市,73
大阪府,箕面市,112
大阪府,柏原市,18
大阪府,羽曳野市,32
大阪府,門真市,71
大阪府,摂津市,38
大阪府,高石市,29
大阪府,藤井寺市,20
大阪府,東大阪市,285
大阪府,泉南市,32
大阪府,四條畷市,20
大阪府,交野市,34
大阪府,大阪狭山市,27
大阪府,阪南市,19
大阪府,三島郡島本町,11
大阪府,豊能郡豊能町,3
大阪府,豊能郡能勢町,4
大阪府,泉北郡忠岡町,1
大阪府,泉南郡熊取町,21
大阪府,泉南郡田尻町,1
大阪府,泉南郡岬町,8
大阪府,南河内郡太子町,2
大阪府,南河内郡河南町,6
大阪府,南河内郡千早赤阪村,1
兵庫県,兵庫県,2036
兵庫県,神戸市東灘区,92
兵庫県,神戸市灘区,94
兵庫県,神戸市兵庫区,53
兵庫県,神戸市長田区,46
兵庫県,神戸市須磨区,59
兵庫県,神戸市垂水区,64
兵庫県,神戸市北区,65
兵庫県,神戸市中央区,403
兵庫県,神戸市西区,55
兵庫県,姫路市,124
兵庫県,尼崎市,173
兵庫県,明石市,95
兵庫県,西宮市,186
兵庫県,洲本市,25
兵庫県,芦屋市,44
兵庫県,伊丹市,61
兵庫県,相生市,3
兵庫県,豊岡市,11
兵庫県,加古川市,53
兵庫県,赤穂市,5
兵庫県,西脇市,8
兵庫県,宝塚市,104
兵庫県,三木市,15
兵庫県,高砂市,13
兵庫県,川西市,49
兵庫県,小野市,7
兵庫県,三田市,34
兵庫県,加西市,6
兵庫県,丹波篠山市,4
兵庫県,丹波市,9
兵庫県,南あわじ市,6
兵庫県,朝来市,4
兵庫県,淡路市,4
兵庫県,宍粟市,7
兵庫県,加東市,2
兵庫県,たつの市,9
兵庫県,川辺郡猪名川町,12
兵庫県,加古郡稲美町,5
兵庫県,加古郡播磨町,4
兵庫県,神崎郡福崎町,4
兵庫県,揖保郡太子町,10
兵庫県,赤穂郡上郡町,3
兵庫県,佐用郡佐用町,5
兵庫県,美方郡新温泉町,1
奈良県,奈良県,374
奈良県,奈良市,150
奈良県,大和高田市,16
奈良県,大和郡山市,19
奈良県,天理市,14
奈良県,橿原市,40
奈良県,桜井市,11
奈良県,五條市,3
奈良県,御所市,6
奈良県,生駒市,40
奈良県,香芝市,28
奈良県,葛城市,13
奈良県,宇陀市,2
奈良県,生駒郡平群町,2
奈良県,生駒郡三郷町,4
奈良県,生駒郡斑鳩町,7
奈良県,磯城郡田原本町,5
奈良県,高市郡明日香村,1
奈良県,北葛城郡上牧町,2
奈良県,北葛城郡王寺町,1
奈良県,北葛城郡広陵町,5
奈良県,北葛城郡河合町,2
奈良県,吉野郡大淀町,3
和歌山県,和歌山県,323
和歌山県,和歌山市,203
和歌山県,海南市,16
和歌山県,橋本市,11
和歌山県,有田市,5
和歌山県,御坊市,4
和歌山県,田辺市,9
和歌山県,新宮市,2
和歌山県,紀の川市,19
和歌山県,岩出市,27
和歌山県,海草郡紀美野町,1
和歌山県,伊都郡かつらぎ町,3
和歌山県,伊都郡九度山町,1
和歌山県,有田郡広川町,1
和歌山県,有田郡有田川町,5
和歌山県,日高郡美浜町,1
和歌山県,日高郡みなべ町,2
和歌山県,西牟婁郡白浜町,4
和歌山県,西牟婁郡上富田町,4
和歌山県,東牟婁郡那智勝浦町,4
和歌山県,東牟婁郡太地町,1
