pref,city,2023-08-26
福岡県,福岡県,3520
福岡県,北九州市門司区,39
福岡県,北九州市若松区,45
福岡県,北九州市戸畑区,16
福岡県,北九州市小倉北区,145
福岡県,北九州市小倉南区,69
福岡県,北九州市八幡東区,33
福岡県,北九州市八幡西区,106
福岡県,福岡市東区,214
福岡県,福岡市博多区,408
福岡県,福岡市中央区,579
福岡県,福岡市南区,197
福岡県,福岡市西区,130
福岡県,福岡市城南区,78
福岡県,福岡市早良区,160
福岡県,大牟田市,60
福岡県,久留米市,184
福岡県,直方市,23
福岡県,飯塚市,61
福岡県,田川市,33
福岡県,柳川市,24
福岡県,八女市,25
福岡県,筑後市,20
福岡県,大川市,11
福岡県,行橋市,29
福岡県,豊前市,7
福岡県,中間市,5
福岡県,小郡市,33
福岡県,筑紫野市,67
福岡県,春日市,58
福岡県,大野城市,63
福岡県,宗像市,57
福岡県,太宰府市,31
福岡県,古賀市,24
福岡県,福津市,37
福岡県,うきは市,19
福岡県,宮若市,11
福岡県,嘉麻市,19
福岡県,朝倉市,25
福岡県,みやま市,16
福岡県,糸島市,93
福岡県,那珂川市,37
福岡県,糟屋郡宇美町,8
福岡県,糟屋郡篠栗町,8
福岡県,糟屋郡志免町,34
福岡県,糟屋郡須恵町,9
福岡県,糟屋郡新宮町,15
福岡県,糟屋郡久山町,11
福岡県,糟屋郡粕屋町,29
福岡県,遠賀郡芦屋町,3
福岡県,遠賀郡水巻町,4
福岡県,遠賀郡岡垣町,19
福岡県,遠賀郡遠賀町,9
福岡県,鞍手郡小竹町,4
福岡県,鞍手郡鞍手町,1
福岡県,嘉穂郡桂川町,5
福岡県,朝倉郡筑前町,10
福岡県,朝倉郡東峰村,3
福岡県,三井郡大刀洗町,7
福岡県,三潴郡大木町,1
福岡県,八女郡広川町,11
福岡県,田川郡香春町,4
福岡県,田川郡糸田町,2
福岡県,田川郡川崎町,6
福岡県,田川郡赤村,1
福岡県,田川郡福智町,9
福岡県,京都郡苅田町,5
福岡県,京都郡みやこ町,9
福岡県,築上郡上毛町,2
佐賀県,佐賀県,284
佐賀県,佐賀市,121
佐賀県,唐津市,28
佐賀県,鳥栖市,41
佐賀県,多久市,6
佐賀県,伊万里市,17
佐賀県,武雄市,10
佐賀県,鹿島市,3
佐賀県,小城市,9
佐賀県,嬉野市,1
佐賀県,神埼市,9
佐賀県,神埼郡吉野ヶ里町,5
佐賀県,三養基郡基山町,11
佐賀県,三養基郡上峰町,3
佐賀県,三養基郡みやき町,4
佐賀県,西松浦郡有田町,7
