pref,city,2023-03-26
青森県,青森県,474
青森県,青森市,90
青森県,弘前市,64
青森県,八戸市,127
青森県,黒石市,2
青森県,五所川原市,26
青森県,十和田市,32
青森県,三沢市,35
青森県,むつ市,22
青森県,つがる市,2
青森県,平川市,6
青森県,東津軽郡平内町,1
青森県,東津軽郡外ヶ浜町,2
青森県,西津軽郡鰺ヶ沢町,3
青森県,西津軽郡深浦町,1
青森県,中津軽郡西目屋村,1
青森県,南津軽郡藤崎町,2
青森県,南津軽郡大鰐町,2
青森県,南津軽郡田舎館村,1
青森県,北津軽郡板柳町,3
青森県,北津軽郡鶴田町,4
青森県,北津軽郡中泊町,1
青森県,上北郡野辺地町,8
青森県,上北郡七戸町,2
青森県,上北郡六戸町,5
青森県,上北郡東北町,4
青森県,上北郡六ヶ所村,2
青森県,上北郡おいらせ町,9
青森県,三戸郡三戸町,4
青森県,三戸郡五戸町,4
青森県,三戸郡南部町,5
青森県,三戸郡階上町,2
青森県,三戸郡新郷村,2
岩手県,岩手県,451
岩手県,盛岡市,157
岩手県,宮古市,10
岩手県,大船渡市,11
岩手県,花巻市,44
岩手県,北上市,48
岩手県,久慈市,12
岩手県,遠野市,5
岩手県,一関市,28
岩手県,陸前高田市,3
岩手県,釜石市,5
岩手県,二戸市,9
岩手県,八幡平市,20
岩手県,奥州市,23
岩手県,滝沢市,16
岩手県,岩手郡雫石町,8
岩手県,岩手郡岩手町,1
岩手県,紫波郡紫波町,10
岩手県,紫波郡矢巾町,12
岩手県,和賀郡西和賀町,1
岩手県,胆沢郡金ケ崎町,12
岩手県,気仙郡住田町,3
岩手県,上閉伊郡大槌町,3
岩手県,下閉伊郡岩泉町,1
岩手県,九戸郡野田村,1
岩手県,九戸郡九戸村,2
岩手県,九戸郡洋野町,5
岩手県,二戸郡一戸町,1
宮城県,宮城県,1301
宮城県,仙台市青葉区,375
宮城県,仙台市宮城野区,96
宮城県,仙台市若林区,80
宮城県,仙台市太白区,111
宮城県,仙台市泉区,112
宮城県,石巻市,63
宮城県,塩竈市,12
宮城県,気仙沼市,20
宮城県,白石市,12
宮城県,名取市,51
宮城県,角田市,12
宮城県,多賀城市,20
宮城県,岩沼市,22
宮城県,登米市,38
宮城県,栗原市,14
宮城県,東松島市,16
宮城県,大崎市,56
宮城県,富谷市,24
宮城県,刈田郡蔵王町,5
宮城県,刈田郡七ケ宿町,2
宮城県,柴田郡大河原町,7
宮城県,柴田郡村田町,4
宮城県,柴田郡柴田町,12
宮城県,柴田郡川崎町,2
宮城県,伊具郡丸森町,12
宮城県,亘理郡亘理町,21
宮城県,亘理郡山元町,5
宮城県,宮城郡松島町,3
宮城県,宮城郡七ヶ浜町,10
宮城県,宮城郡利府町,27
宮城県,黒川郡大和町,12
宮城県,黒川郡大郷町,7
宮城県,黒川郡大衡村,4
宮城県,加美郡色麻町,1
宮城県,加美郡加美町,9
宮城県,遠田郡涌谷町,7
宮城県,遠田郡美里町,13
宮城県,牡鹿郡女川町,2
宮城県,本吉郡南三陸町,2
秋田県,秋田県,283
秋田県,秋田市,95
秋田県,能代市,6
秋田県,横手市,24
秋田県,大館市,24
秋田県,男鹿市,5
秋田県,湯沢市,10
秋田県,鹿角市,5
秋田県,由利本荘市,20
秋田県,潟上市,9
秋田県,大仙市,33
秋田県,北秋田市,5
秋田県,にかほ市,7
秋田県,仙北市,14
秋田県,鹿角郡小坂町,2
秋田県,山本郡三種町,2
秋田県,山本郡八峰町,1
