pref,city,2022-07-02
東京都,東京都,3
東京都,港区,3
神奈川県,神奈川県,3
神奈川県,横浜市戸塚区,3
新潟県,新潟県,826
新潟県,新潟市北区,31
新潟県,新潟市東区,34
新潟県,新潟市中央区,61
新潟県,新潟市江南区,37
新潟県,新潟市秋葉区,35
新潟県,新潟市南区,22
新潟県,新潟市西区,58
新潟県,新潟市西蒲区,41
新潟県,長岡市,83
新潟県,三条市,44
新潟県,柏崎市,50
新潟県,新発田市,13
新潟県,小千谷市,19
新潟県,加茂市,10
新潟県,十日町市,21
新潟県,見附市,19
新潟県,村上市,7
新潟県,燕市,28
新潟県,糸魚川市,15
新潟県,妙高市,14
新潟県,五泉市,18
新潟県,上越市,20
新潟県,阿賀野市,13
新潟県,佐渡市,28
新潟県,魚沼市,12
新潟県,南魚沼市,26
新潟県,胎内市,16
新潟県,北蒲原郡聖籠町,4
新潟県,西蒲原郡弥彦村,7
新潟県,南蒲原郡田上町,9
新潟県,東蒲原郡阿賀町,4
新潟県,三島郡出雲崎町,7
新潟県,南魚沼郡湯沢町,3
新潟県,中魚沼郡津南町,12
新潟県,刈羽郡刈羽村,5
長野県,長野県,955
長野県,長野市,110
長野県,松本市,69
長野県,上田市,73
長野県,岡谷市,17
長野県,飯田市,63
長野県,諏訪市,13
長野県,須坂市,20
長野県,小諸市,24
長野県,伊那市,24
長野県,駒ヶ根市,15
長野県,中野市,25
長野県,大町市,16
長野県,飯山市,12
長野県,茅野市,28
長野県,塩尻市,23
長野県,佐久市,51
長野県,千曲市,26
長野県,東御市,20
長野県,安曇野市,36
長野県,南佐久郡小海町,3
長野県,南佐久郡川上村,2
長野県,南佐久郡南牧村,6
長野県,南佐久郡南相木村,1
長野県,南佐久郡北相木村,3
長野県,南佐久郡佐久穂町,4
長野県,北佐久郡軽井沢町,15
長野県,北佐久郡御代田町,9
長野県,北佐久郡立科町,9
長野県,小県郡青木村,1
長野県,小県郡長和町,16
長野県,諏訪郡下諏訪町,7
長野県,諏訪郡富士見町,14
長野県,諏訪郡原村,5
長野県,上伊那郡辰野町,12
長野県,上伊那郡箕輪町,12
長野県,上伊那郡飯島町,8
長野県,上伊那郡南箕輪村,14
長野県,上伊那郡中川村,3
長野県,上伊那郡宮田村,1
長野県,下伊那郡松川町,11
長野県,下伊那郡高森町,5
長野県,下伊那郡阿南町,2
長野県,下伊那郡阿智村,6
長野県,下伊那郡平谷村,2
長野県,下伊那郡下條村,5
長野県,下伊那郡売木村,2
長野県,下伊那郡天龍村,8
長野県,下伊那郡喬木村,5
長野県,下伊那郡豊丘村,4
長野県,木曽郡上松町,4
長野県,木曽郡南木曽町,2
長野県,木曽郡木祖村,3
長野県,木曽郡王滝村,1
長野県,木曽郡木曽町,7
長野県,東筑摩郡麻績村,3
長野県,東筑摩郡朝日村,4
長野県,東筑摩郡筑北村,4
長野県,北安曇郡池田町,4
長野県,北安曇郡松川村,3
長野県,北安曇郡白馬村,5
長野県,北安曇郡小谷村,1
長野県,埴科郡坂城町,7
長野県,上高井郡小布施町,5
長野県,上高井郡高山村,3
長野県,下高井郡山ノ内町,7
長野県,下高井郡木島平村,3
長野県,下高井郡野沢温泉村,1
長野県,上水内郡信濃町,8
長野県,上水内郡小川村,5
長野県,上水内郡飯綱町,9
長野県,下水内郡栄村,6
