pref,city,2023-07-01
岐阜県,岐阜県,1112
岐阜県,岐阜市,126
岐阜県,大垣市,63
岐阜県,高山市,67
岐阜県,多治見市,52
岐阜県,関市,60
岐阜県,中津川市,81
岐阜県,美濃市,13
岐阜県,瑞浪市,31
岐阜県,羽島市,25
岐阜県,恵那市,49
岐阜県,美濃加茂市,22
岐阜県,土岐市,24
岐阜県,各務原市,50
岐阜県,可児市,50
岐阜県,山県市,29
岐阜県,瑞穂市,10
岐阜県,飛騨市,19
岐阜県,本巣市,22
岐阜県,郡上市,53
岐阜県,下呂市,47
岐阜県,海津市,17
岐阜県,羽島郡岐南町,9
岐阜県,羽島郡笠松町,7
岐阜県,養老郡養老町,13
岐阜県,不破郡垂井町,11
岐阜県,不破郡関ケ原町,9
岐阜県,安八郡神戸町,10
岐阜県,安八郡輪之内町,4
岐阜県,安八郡安八町,12
岐阜県,揖斐郡揖斐川町,22
岐阜県,揖斐郡大野町,10
岐阜県,揖斐郡池田町,9
岐阜県,本巣郡北方町,8
岐阜県,加茂郡坂祝町,6
岐阜県,加茂郡富加町,3
岐阜県,加茂郡川辺町,6
岐阜県,加茂郡七宗町,6
岐阜県,加茂郡八百津町,19
岐阜県,加茂郡白川町,20
岐阜県,加茂郡東白川村,3
岐阜県,可児郡御嵩町,12
岐阜県,大野郡白川村,3
静岡県,静岡県,1717
静岡県,静岡市葵区,108
静岡県,静岡市駿河区,62
静岡県,静岡市清水区,109
静岡県,浜松市中区,59
静岡県,浜松市東区,41
静岡県,浜松市西区,40
静岡県,浜松市南区,30
静岡県,浜松市北区,58
静岡県,浜松市浜北区,34
静岡県,浜松市天竜区,68
静岡県,沼津市,70
静岡県,熱海市,28
静岡県,三島市,35
静岡県,富士宮市,74
静岡県,伊東市,23
静岡県,島田市,46
静岡県,富士市,98
静岡県,磐田市,57
静岡県,焼津市,50
静岡県,掛川市,62
静岡県,藤枝市,65
静岡県,御殿場市,48
静岡県,袋井市,39
静岡県,下田市,28
静岡県,裾野市,22
静岡県,湖西市,40
静岡県,伊豆市,46
静岡県,御前崎市,20
静岡県,菊川市,37
静岡県,伊豆の国市,20
静岡県,牧之原市,40
静岡県,賀茂郡東伊豆町,10
静岡県,賀茂郡河津町,13
静岡県,賀茂郡南伊豆町,14
静岡県,賀茂郡松崎町,5
静岡県,賀茂郡西伊豆町,12
静岡県,田方郡函南町,19
静岡県,駿東郡清水町,10
静岡県,駿東郡長泉町,15
静岡県,駿東郡小山町,19
静岡県,榛原郡吉田町,11
静岡県,榛原郡川根本町,17
静岡県,周智郡森町,15
愛知県,愛知県,2948
愛知県,名古屋市千種区,100
愛知県,名古屋市東区,54
愛知県,名古屋市北区,50
愛知県,名古屋市西区,91
愛知県,名古屋市中村区,132
愛知県,名古屋市中区,174
愛知県,名古屋市昭和区,46
愛知県,名古屋市瑞穂区,44
愛知県,名古屋市熱田区,42
愛知県,名古屋市中川区,95
愛知県,名古屋市港区,92
愛知県,名古屋市南区,54
愛知県,名古屋市守山区,84
愛知県,名古屋市緑区,105
愛知県,名古屋市名東区,64
愛知県,名古屋市天白区,73
愛知県,豊橋市,92
愛知県,岡崎市,132
愛知県,一宮市,100
愛知県,瀬戸市,47
愛知県,半田市,30
愛知県,春日井市,65
愛知県,豊川市,52
愛知県,津島市,19
愛知県,碧南市,25
愛知県,刈谷市,36
愛知県,豊田市,175
愛知県,安城市,43
愛知県,西尾市,67
愛知県,蒲郡市,23
愛知県,犬山市,20
愛知県,常滑市,38
愛知県,江南市,19
愛知県,小牧市,30
愛知県,稲沢市,35
愛知県,新城市,43
愛知県,東海市,26
愛知県,大府市,30
愛知県,知多市,24
愛知県,知立市,14
愛知県,尾張旭市,23
愛知県,高浜市,13
愛知県,岩倉市,10
愛知県,豊明市,22
愛知県,日進市,28
愛知県,田原市,48
愛知県,愛西市,17
愛知県,清須市,14
愛知県,北名古屋市,19
愛知県,弥富市,18
愛知県,みよし市,20
愛知県,あま市,22
愛知県,長久手市,23
愛知県,愛知郡東郷町,13
愛知県,西春日井郡豊山町,7
愛知県,丹羽郡大口町,7
愛知県,丹羽郡扶桑町,9
愛知県,海部郡大治町,6
愛知県,海部郡蟹江町,6
愛知県,海部郡飛島村,4
愛知県,知多郡阿久比町,11
愛知県,知多郡東浦町,15
愛知県,知多郡南知多町,19
愛知県,知多郡美浜町,16
愛知県,知多郡武豊町,14
愛知県,額田郡幸田町,22
愛知県,北設楽郡設楽町,27
愛知県,北設楽郡東栄町,6
愛知県,北設楽郡豊根村,4
三重県,三重県,982
三重県,津市,129
三重県,四日市市,100
三重県,伊勢市,76
三重県,松阪市,83
三重県,桑名市,72
三重県,鈴鹿市,64
三重県,名張市,37
三重県,尾鷲市,14
三重県,亀山市,34
三重県,鳥羽市,18
三重県,熊野市,23
三重県,いなべ市,38
三重県,志摩市,36
三重県,伊賀市,62
三重県,桑名郡木曽岬町,4
三重県,員弁郡東員町,15
三重県,三重郡菰野町,20
三重県,三重郡朝日町,3
三重県,三重郡川越町,5
三重県,多気郡多気町,22
三重県,多気郡明和町,17
三重県,多気郡大台町,19
三重県,度会郡玉城町,13
三重県,度会郡度会町,11
三重県,度会郡大紀町,17
三重県,度会郡南伊勢町,19
三重県,北牟婁郡紀北町,15
三重県,南牟婁郡御浜町,8
三重県,南牟婁郡紀宝町,8
