pref,city,2022-02-15
東京都,東京都,2
東京都,港区,2
神奈川県,神奈川県,2
神奈川県,横浜市戸塚区,2
富山県,富山県,403
富山県,富山市,131
富山県,高岡市,46
富山県,魚津市,21
富山県,氷見市,21
富山県,滑川市,18
富山県,黒部市,25
富山県,砺波市,25
富山県,小矢部市,14
富山県,南砺市,25
富山県,射水市,24
富山県,中新川郡舟橋村,2
富山県,中新川郡上市町,13
富山県,中新川郡立山町,15
富山県,下新川郡入善町,15
富山県,下新川郡朝日町,8
石川県,石川県,370
石川県,金沢市,108
石川県,七尾市,30
石川県,小松市,37
石川県,輪島市,15
石川県,珠洲市,8
石川県,加賀市,29
石川県,羽咋市,12
石川県,かほく市,16
石川県,白山市,27
石川県,能美市,21
石川県,野々市市,13
石川県,能美郡川北町,4
石川県,河北郡津幡町,11
石川県,河北郡内灘町,7
石川県,羽咋郡志賀町,9
石川県,羽咋郡宝達志水町,10
石川県,鹿島郡中能登町,9
石川県,鳳珠郡穴水町,1
石川県,鳳珠郡能登町,3
福井県,福井県,274
福井県,福井市,85
福井県,敦賀市,23
福井県,小浜市,17
福井県,大野市,15
福井県,勝山市,3
福井県,鯖江市,26
福井県,あわら市,14
福井県,越前市,23
福井県,坂井市,31
福井県,吉田郡永平寺町,7
福井県,今立郡池田町,1
福井県,南条郡南越前町,4
福井県,丹生郡越前町,6
福井県,三方郡美浜町,3
福井県,大飯郡高浜町,3
福井県,大飯郡おおい町,3
福井県,三方上中郡若狭町,10
