pref,city,2023-04-06
東京都,東京都,1585
東京都,港区,1585
神奈川県,神奈川県,8461
神奈川県,横浜市戸塚区,8461
滋賀県,滋賀県,668
滋賀県,大津市,114
滋賀県,彦根市,46
滋賀県,長浜市,76
滋賀県,近江八幡市,40
滋賀県,草津市,42
滋賀県,守山市,27
滋賀県,栗東市,20
滋賀県,甲賀市,50
滋賀県,野洲市,26
滋賀県,湖南市,32
滋賀県,高島市,38
滋賀県,東近江市,54
滋賀県,米原市,31
滋賀県,蒲生郡日野町,29
滋賀県,蒲生郡竜王町,12
滋賀県,愛知郡愛荘町,12
滋賀県,犬上郡豊郷町,5
滋賀県,犬上郡甲良町,6
滋賀県,犬上郡多賀町,8
京都府,京都府,1041
京都府,京都市北区,46
京都府,京都市上京区,25
京都府,京都市左京区,60
京都府,京都市中京区,43
京都府,京都市東山区,36
京都府,京都市下京区,42
京都府,京都市南区,51
京都府,京都市右京区,64
京都府,京都市伏見区,85
京都府,京都市山科区,37
京都府,京都市西京区,46
京都府,福知山市,58
京都府,舞鶴市,50
京都府,綾部市,22
京都府,宇治市,44
京都府,宮津市,17
京都府,亀岡市,32
京都府,城陽市,20
京都府,向日市,16
京都府,長岡京市,21
京都府,八幡市,22
京都府,京田辺市,18
京都府,京丹後市,51
京都府,南丹市,19
京都府,木津川市,30
京都府,乙訓郡大山崎町,6
京都府,久世郡久御山町,11
京都府,綴喜郡井手町,4
京都府,綴喜郡宇治田原町,11
京都府,相楽郡笠置町,3
京都府,相楽郡和束町,7
京都府,相楽郡精華町,9
京都府,相楽郡南山城村,4
京都府,船井郡京丹波町,17
京都府,与謝郡伊根町,1
京都府,与謝郡与謝野町,13
大阪府,大阪府,3027
大阪府,大阪市都島区,37
大阪府,大阪市福島区,49
大阪府,大阪市此花区,51
大阪府,大阪市西区,73
大阪府,大阪市港区,32
大阪府,大阪市大正区,25
大阪府,大阪市天王寺区,47
大阪府,大阪市浪速区,44
大阪府,大阪市西淀川区,32
大阪府,大阪市東淀川区,53
大阪府,大阪市東成区,52
大阪府,大阪市生野区,51
大阪府,大阪市旭区,31
大阪府,大阪市城東区,37
大阪府,大阪市阿倍野区,39
大阪府,大阪市住吉区,42
大阪府,大阪市東住吉区,39
大阪府,大阪市西成区,44
大阪府,大阪市淀川区,63
大阪府,大阪市鶴見区,25
大阪府,大阪市住之江区,63
大阪府,大阪市平野区,43
大阪府,大阪市北区,144
大阪府,大阪市中央区,229
大阪府,堺市堺区,45
大阪府,堺市中区,31
大阪府,堺市東区,17
大阪府,堺市西区,44
大阪府,堺市南区,40
大阪府,堺市北区,42
大阪府,堺市美原区,10
大阪府,岸和田市,56
大阪府,豊中市,85
大阪府,池田市,26
大阪府,吹田市,85
大阪府,泉大津市,27
大阪府,高槻市,88
大阪府,貝塚市,30
大阪府,守口市,27
大阪府,枚方市,71
大阪府,茨木市,75
大阪府,八尾市,60
大阪府,泉佐野市,34
大阪府,富田林市,33
大阪府,寝屋川市,47
大阪府,河内長野市,53
大阪府,松原市,24
大阪府,大東市,23
大阪府,和泉市,64
大阪府,箕面市,34
大阪府,柏原市,20
大阪府,羽曳野市,36
大阪府,門真市,44
大阪府,摂津市,22
大阪府,高石市,17
大阪府,藤井寺市,12
大阪府,東大阪市,135
大阪府,泉南市,28
大阪府,四條畷市,14
大阪府,交野市,25
大阪府,大阪狭山市,18
大阪府,阪南市,21
大阪府,三島郡島本町,10
大阪府,豊能郡豊能町,16
大阪府,豊能郡能勢町,17
大阪府,泉北郡忠岡町,6
大阪府,泉南郡熊取町,14
大阪府,泉南郡田尻町,7
大阪府,泉南郡岬町,13
大阪府,南河内郡太子町,10
大阪府,南河内郡河南町,13
大阪府,南河内郡千早赤阪村,13
兵庫県,兵庫県,2385
兵庫県,神戸市東灘区,91
兵庫県,神戸市灘区,54
兵庫県,神戸市兵庫区,64
兵庫県,神戸市長田区,37
兵庫県,神戸市須磨区,57
兵庫県,神戸市垂水区,51
兵庫県,神戸市北区,75
兵庫県,神戸市中央区,116
兵庫県,神戸市西区,66
兵庫県,姫路市,191
兵庫県,尼崎市,124
兵庫県,明石市,77
兵庫県,西宮市,205
兵庫県,洲本市,35
兵庫県,芦屋市,29
兵庫県,伊丹市,51
兵庫県,相生市,22
兵庫県,豊岡市,46
兵庫県,加古川市,89
兵庫県,赤穂市,30
兵庫県,西脇市,27
兵庫県,宝塚市,81
兵庫県,三木市,48
兵庫県,高砂市,46
兵庫県,川西市,61
兵庫県,小野市,32
兵庫県,三田市,49
兵庫県,加西市,39
兵庫県,丹波篠山市,21
兵庫県,養父市,28
兵庫県,丹波市,63
兵庫県,南あわじ市,48
兵庫県,朝来市,35
兵庫県,淡路市,44
兵庫県,宍粟市,19
兵庫県,加東市,33
兵庫県,たつの市,40
