pref,city,2023-10-05
鳥取県,鳥取県,447
鳥取県,鳥取市,140
鳥取県,米子市,63
鳥取県,倉吉市,31
鳥取県,境港市,17
鳥取県,岩美郡岩美町,14
鳥取県,八頭郡若桜町,7
鳥取県,八頭郡智頭町,20
鳥取県,八頭郡八頭町,13
鳥取県,東伯郡三朝町,9
鳥取県,東伯郡湯梨浜町,17
鳥取県,東伯郡琴浦町,17
鳥取県,東伯郡北栄町,12
鳥取県,西伯郡日吉津村,2
鳥取県,西伯郡大山町,24
鳥取県,西伯郡南部町,11
鳥取県,西伯郡伯耆町,24
鳥取県,日野郡日南町,8
鳥取県,日野郡日野町,9
鳥取県,日野郡江府町,9
島根県,島根県,821
島根県,松江市,167
島根県,浜田市,64
島根県,出雲市,89
島根県,益田市,79
島根県,大田市,66
島根県,安来市,52
島根県,江津市,38
島根県,雲南市,60
島根県,仁多郡奥出雲町,29
島根県,飯石郡飯南町,12
島根県,邑智郡川本町,32
島根県,邑智郡美郷町,18
島根県,邑智郡邑南町,17
島根県,鹿足郡津和野町,52
島根県,鹿足郡吉賀町,15
島根県,隠岐郡海士町,5
島根県,隠岐郡西ノ島町,1
島根県,隠岐郡隠岐の島町,25
岡山県,岡山県,1092
岡山県,岡山市北区,129
岡山県,岡山市中区,43
岡山県,岡山市東区,49
岡山県,岡山市南区,53
岡山県,倉敷市,205
岡山県,津山市,66
岡山県,玉野市,43
岡山県,笠岡市,44
岡山県,井原市,34
岡山県,総社市,51
岡山県,高梁市,29
岡山県,新見市,27
岡山県,備前市,36
岡山県,瀬戸内市,31
岡山県,赤磐市,24
岡山県,真庭市,61
岡山県,美作市,30
岡山県,浅口市,26
岡山県,和気郡和気町,12
岡山県,都窪郡早島町,5
岡山県,浅口郡里庄町,8
岡山県,小田郡矢掛町,15
岡山県,苫田郡鏡野町,18
岡山県,勝田郡勝央町,12
岡山県,勝田郡奈義町,5
岡山県,英田郡西粟倉村,6
岡山県,久米郡久米南町,5
岡山県,久米郡美咲町,14
岡山県,加賀郡吉備中央町,11
広島県,広島県,1548
広島県,広島市中区,59
広島県,広島市東区,40
広島県,広島市南区,43
広島県,広島市西区,50
広島県,広島市安佐南区,75
広島県,広島市安佐北区,80
広島県,広島市安芸区,31
広島県,広島市佐伯区,56
広島県,呉市,107
広島県,竹原市,23
広島県,三原市,66
広島県,尾道市,90
広島県,福山市,202
広島県,府中市,21
広島県,三次市,83
広島県,庄原市,117
広島県,大竹市,10
広島県,東広島市,117
広島県,廿日市市,70
広島県,安芸高田市,42
広島県,江田島市,29
広島県,安芸郡府中町,14
広島県,安芸郡海田町,8
広島県,安芸郡熊野町,10
広島県,安芸郡坂町,7
広島県,山県郡安芸太田町,20
広島県,山県郡北広島町,35
広島県,豊田郡大崎上島町,13
広島県,世羅郡世羅町,16
広島県,神石郡神石高原町,14
山口県,山口県,1038
山口県,下関市,142
山口県,宇部市,88
山口県,山口市,119
山口県,萩市,93
山口県,防府市,48
山口県,下松市,25
山口県,岩国市,120
山口県,光市,29
山口県,長門市,70
山口県,柳井市,31
山口県,美祢市,38
山口県,周南市,115
山口県,山陽小野田市,43
山口県,大島郡周防大島町,27
山口県,玖珂郡和木町,6
山口県,熊毛郡上関町,10
山口県,熊毛郡田布施町,11
山口県,熊毛郡平生町,11
山口県,阿武郡阿武町,12
