pref,city,2022-07-19
青森県,青森県,502
青森県,青森市,71
青森県,弘前市,60
青森県,八戸市,59
青森県,黒石市,14
青森県,五所川原市,25
青森県,十和田市,25
青森県,三沢市,16
青森県,むつ市,27
青森県,つがる市,18
青森県,平川市,17
青森県,東津軽郡平内町,9
青森県,東津軽郡今別町,1
青森県,東津軽郡蓬田村,2
青森県,東津軽郡外ヶ浜町,4
青森県,西津軽郡鰺ヶ沢町,7
青森県,西津軽郡深浦町,6
青森県,中津軽郡西目屋村,1
青森県,南津軽郡藤崎町,9
青森県,南津軽郡大鰐町,9
青森県,南津軽郡田舎館村,5
青森県,北津軽郡板柳町,8
青森県,北津軽郡鶴田町,8
青森県,北津軽郡中泊町,6
青森県,上北郡野辺地町,5
青森県,上北郡七戸町,4
青森県,上北郡六戸町,5
青森県,上北郡横浜町,4
青森県,上北郡東北町,15
青森県,上北郡六ヶ所村,8
青森県,上北郡おいらせ町,14
青森県,下北郡大間町,3
青森県,下北郡東通村,3
青森県,下北郡風間浦村,2
青森県,下北郡佐井村,2
青森県,三戸郡三戸町,6
青森県,三戸郡五戸町,13
青森県,三戸郡田子町,2
青森県,三戸郡南部町,5
青森県,三戸郡階上町,4
岩手県,岩手県,747
岩手県,盛岡市,95
岩手県,宮古市,111
岩手県,大船渡市,26
岩手県,花巻市,34
岩手県,北上市,16
岩手県,久慈市,105
岩手県,遠野市,17
岩手県,一関市,40
岩手県,陸前高田市,18
岩手県,釜石市,23
岩手県,二戸市,24
岩手県,八幡平市,12
岩手県,奥州市,18
岩手県,滝沢市,11
岩手県,岩手郡雫石町,8
岩手県,岩手郡葛巻町,9
岩手県,岩手郡岩手町,12
岩手県,紫波郡紫波町,13
岩手県,紫波郡矢巾町,8
岩手県,和賀郡西和賀町,4
岩手県,胆沢郡金ケ崎町,6
岩手県,西磐井郡平泉町,6
岩手県,気仙郡住田町,11
岩手県,上閉伊郡大槌町,23
岩手県,下閉伊郡山田町,8
岩手県,下閉伊郡岩泉町,55
岩手県,下閉伊郡田野畑村,1
岩手県,九戸郡軽米町,5
岩手県,九戸郡野田村,4
岩手県,九戸郡九戸村,4
岩手県,九戸郡洋野町,7
岩手県,二戸郡一戸町,13
宮城県,宮城県,587
宮城県,仙台市青葉区,30
宮城県,仙台市宮城野区,24
宮城県,仙台市若林区,11
宮城県,仙台市太白区,22
宮城県,仙台市泉区,33
宮城県,石巻市,50
宮城県,塩竈市,9
宮城県,気仙沼市,25
宮城県,白石市,14
宮城県,名取市,23
宮城県,角田市,11
宮城県,多賀城市,9
宮城県,岩沼市,11
宮城県,登米市,41
宮城県,栗原市,34
宮城県,東松島市,18
宮城県,大崎市,39
宮城県,富谷市,8
宮城県,刈田郡蔵王町,8
宮城県,刈田郡七ケ宿町,1
宮城県,柴田郡大河原町,8
宮城県,柴田郡村田町,6
宮城県,柴田郡柴田町,10
宮城県,柴田郡川崎町,6
宮城県,伊具郡丸森町,8
宮城県,亘理郡亘理町,10
宮城県,亘理郡山元町,9
宮城県,宮城郡松島町,8
宮城県,宮城郡七ヶ浜町,7
宮城県,宮城郡利府町,12
宮城県,黒川郡大和町,16
宮城県,黒川郡大郷町,8
宮城県,黒川郡大衡村,4
宮城県,加美郡色麻町,7
宮城県,加美郡加美町,8
宮城県,遠田郡涌谷町,9
宮城県,遠田郡美里町,13
宮城県,牡鹿郡女川町,8
宮城県,本吉郡南三陸町,9
秋田県,秋田県,600
秋田県,秋田市,102
秋田県,能代市,28
秋田県,横手市,59
秋田県,大館市,54
秋田県,男鹿市,23
秋田県,湯沢市,29
秋田県,鹿角市,26
秋田県,由利本荘市,38
秋田県,潟上市,21
秋田県,大仙市,51
秋田県,北秋田市,31
秋田県,にかほ市,26
秋田県,仙北市,25
秋田県,鹿角郡小坂町,6
秋田県,北秋田郡上小阿仁村,4
秋田県,山本郡藤里町,2
秋田県,山本郡三種町,12
秋田県,山本郡八峰町,11
秋田県,南秋田郡五城目町,10
秋田県,南秋田郡八郎潟町,4
秋田県,南秋田郡井川町,5
秋田県,南秋田郡大潟村,2
秋田県,仙北郡美郷町,13
秋田県,雄勝郡羽後町,16
秋田県,雄勝郡東成瀬村,2
山形県,山形県,461
山形県,山形市,67
山形県,米沢市,31
山形県,鶴岡市,47
山形県,酒田市,33
山形県,新庄市,16
山形県,寒河江市,13
山形県,上山市,11
山形県,村山市,16
山形県,長井市,12
山形県,天童市,21
山形県,東根市,19
山形県,尾花沢市,12
山形県,南陽市,19
山形県,東村山郡山辺町,5
山形県,東村山郡中山町,8
山形県,西村山郡河北町,10
山形県,西村山郡西川町,3
山形県,西村山郡朝日町,3
山形県,西村山郡大江町,9
山形県,北村山郡大石田町,6
山形県,最上郡最上町,3
山形県,最上郡舟形町,5
山形県,最上郡真室川町,6
山形県,最上郡大蔵村,1
山形県,最上郡鮭川村,2
山形県,最上郡戸沢村,3
山形県,東置賜郡高畠町,17
山形県,東置賜郡川西町,13
山形県,西置賜郡小国町,7
山形県,西置賜郡白鷹町,12
山形県,西置賜郡飯豊町,8
山形県,東田川郡三川町,6
山形県,東田川郡庄内町,10
山形県,飽海郡遊佐町,7
福島県,福島県,1063
福島県,福島市,86
福島県,会津若松市,57
福島県,郡山市,65
福島県,いわき市,117
福島県,白河市,40
福島県,須賀川市,37
福島県,喜多方市,22
福島県,相馬市,26
福島県,二本松市,24
福島県,田村市,17
福島県,南相馬市,29
福島県,伊達市,34
福島県,本宮市,13
福島県,伊達郡桑折町,6
福島県,伊達郡国見町,6
福島県,伊達郡川俣町,12
福島県,安達郡大玉村,2
福島県,岩瀬郡鏡石町,5
福島県,岩瀬郡天栄村,6
福島県,南会津郡下郷町,18
福島県,南会津郡檜枝岐村,5
福島県,南会津郡只見町,4
福島県,南会津郡南会津町,9
福島県,耶麻郡西会津町,1
福島県,耶麻郡磐梯町,3
福島県,耶麻郡猪苗代町,8
福島県,河沼郡会津坂下町,10
福島県,河沼郡湯川村,3
福島県,河沼郡柳津町,1
福島県,大沼郡昭和村,2
福島県,大沼郡会津美里町,14
福島県,西白河郡西郷村,12
福島県,西白河郡泉崎村,5
福島県,西白河郡中島村,3
福島県,西白河郡矢吹町,14
福島県,東白川郡棚倉町,12
福島県,東白川郡矢祭町,15
福島県,東白川郡塙町,90
福島県,東白川郡鮫川村,43
福島県,石川郡石川町,13
福島県,石川郡玉川村,4
福島県,石川郡平田村,1
福島県,石川郡浅川町,5
福島県,石川郡古殿町,26
福島県,田村郡三春町,6
福島県,田村郡小野町,10
福島県,双葉郡広野町,7
福島県,双葉郡富岡町,1
福島県,双葉郡川内村,33
福島県,双葉郡大熊町,10
福島県,双葉郡浪江町,27
福島県,双葉郡葛尾村,10
福島県,相馬郡新地町,4
福島県,相馬郡飯舘村,30
